,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Label,B,B,C,A,C,A,B,A,A,B,B,A,C,B,A,B,C,B,A,C,C,B,B,A,B,B,A,B,A,A,C,B,C,C,C,C,B,A,C,B,A,C,A,C,C,C,B,B,B,C,A,C,C,A,B,A,B,B,A,A,B,C,C,C,B,B,B,B,C,A
['1+1'],0.0,0.0,0.0,0.0,0.0,0.010501756284939502,0.0,0.0,0.0,0.0,0.0,0.01099256826947826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009678410286661904,0.0,0.00565038479702309,0.019429599345854316,0.002616318240446733,0.0019670822833680593,0.005757494282900595,0.0,0.0052969584114251605,0.0,0.0,0.025043109753184037,0.002260406701524237,0.030552430408704097,0.016575753302307566,0.009121270222888268,0.005469619100293086,0.0,0.009134916842642985,0.0,0.011072768698478758,0.010153051156374016,0.0093643465025943,0.0,0.0,0.006000385392413698,0.0042821587699113555,0.0,0.030595967241865286,0.0,0.0010122059809983663,0.0,0.004292518313705193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+2'],0.0,0.0,0.0,0.0014351879768162471,0.00011001313245560011,0.005078727503184709,0.0004871438675521557,0.02144867460578869,0.0046329133191632885,0.002149941588059371,0.00212490773098504,0.004933451209397707,0.0009928177221896887,0.0,0.0022843667542402557,0.0012864890458709223,0.00039631187382515746,0.0011602587946339027,0.00044433081743297813,0.00039875969463402765,0.00010439475782678413,0.0,0.0003377564703813954,0.000540447530714163,0.0011396268391709063,0.0,0.0031455398349053538,0.0007455408244348989,0.0,0.0016488308534647618,0.000581141624724879,0.0,0.0006585346697197171,0.0007040417856109102,0.0011769939901739202,0.0005484361268169597,0.0,0.0,0.0,0.0018877732739716905,0.0028433701615050828,0.009949478519658252,0.0018819487502690195,0.006891901824473636,0.0008988287216028494,0.00015895101389653947,0.0008675392813518001,0.0,0.002210757476391128,0.001221094720822244,0.0,0.0029862541883819422,0.04230366935008444,0.27406669126768635,0.0017697643616288955,0.0,0.0,0.0006991883938841255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+3'],0.0,0.0,0.0,0.0034264348935239167,0.0,0.0012475108702288656,0.0,0.0,0.001443868331357908,0.0005258058858960309,0.0008702134650255869,0.0,0.0,0.0,0.003738528109425527,0.005145998201893128,0.0009554350863136054,0.008875369110768359,0.022611706762859906,0.003998437879766792,0.00395958036536798,0.010552096836173716,0.02455072053430277,0.02767739253292665,0.01804688012293995,0.0007332570448745318,0.05586706027599837,0.025189375956965132,0.0807467452064622,0.11787399564511106,0.047860082858494815,0.03399287533975071,0.024936267863221583,0.05734781747271794,0.06144926686024721,0.04161890754472163,0.08541190232869221,0.24130681303423868,0.03438987503889881,0.09666925849291214,0.22566928748226944,0.04112463113701931,0.25175222917345824,0.07462702263192933,0.02053552666131918,0.021103321192167037,0.10242162105916333,0.13052752125013997,0.1065616719826986,0.045242698897752856,0.010338257637702984,0.0426426870087962,0.0017282846092598976,0.022610998100980943,0.05297354206533743,0.01466486905857307,0.2851292724303085,0.2216241752083307,0.7088393557100986,0.8651229539923523,0.37349334633161,0.19354113820024663,0.16102271886938085,0.1444466740477164,0.11325023823761741,0.15715135198917762,0.0,0.16689823182259705,0.12400496563570698,0.0
['1+4'],0.0,0.0,0.0,0.002274843793163126,0.0,0.0,0.0005760810024679835,0.0018787691693449929,0.005084320992124929,0.0005674841378866132,0.0,0.0025788230853521963,0.0,0.0,0.0018559626460109026,0.002974582493346905,0.0001496197862288446,0.002428488517961549,0.0002646922168194485,0.0007211938996639767,0.0,0.0,0.0038365951555220414,0.0,0.00339409071153478,0.0,0.0,0.0014855608499505769,0.014710725652910471,0.0,0.0005055332527473763,0.0,0.0011191990020250348,0.00046884659921119334,0.0,0.002297484846074464,0.01692905594359001,0.009076573201973224,0.004520557020418526,0.011944234253690433,0.003806693210963235,0.0,0.006107139215646239,0.0007376272702062936,0.0,0.0026255488838836773,0.015835025372625527,0.0,0.0035754980022844013,0.0020738816424041365,0.000987350846771522,0.01470650559554737,0.0016046284390228553,0.0014885944416895408,0.0032317614351675358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002522295895015399,0.0,0.0
['1+5'],0.015085675655362327,0.017658983826148264,0.004411409011773813,0.02280516272379219,0.00013467461119835039,0.028048224192137556,0.0,0.0005900662209253274,0.021037828333360913,0.0,0.011814120788675586,0.0,0.00027450404880388353,0.0,0.004936444060958903,0.0,0.0002383237077765826,0.00039752788798305547,0.0008173419693497274,0.0002241750079837896,0.0,0.0,0.0,0.0012573066415394135,0.0,0.0,0.0010970953570720806,0.0,0.0,0.0006490558101046956,0.0,0.0,4.5917432105992454e-05,3.540140513613105e-05,0.00016633920693658733,0.0001839104983898465,0.00022338537668254655,0.003629931868820156,0.0,0.0,0.00045842934076129223,0.0,0.0006271092899089181,3.870699243837438e-05,0.0,0.0,0.0,0.0,0.0024090874891740553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.459914474115611e-05,4.978188723875831e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+6'],14.192458948663075,17.36609475128882,5.692998480797022,27.42008849464373,4.747913438209322,24.261321885803998,63.00706675738348,33.29645994902275,21.774851997591366,13.579161853738253,13.324397755970805,193.49992823665286,7.995038695786652,0.43003418330287607,163.9483590527976,101.649438843237,35.61118925800717,108.44446078403563,178.8845935071265,30.310270396056502,48.57842331822887,91.78941313375424,99.34719264826009,189.72702586812406,0.0,4.091917248568801,0.0,0.0,134.3469238930949,153.25268552544344,28.606903345396915,79.73176893065344,16.315865236514167,26.751039356404323,40.203602214650196,0.17617578055918495,5.045349785052719,0.0,0.0,0.2557414373830218,0.0,0.0,0.0,0.0,0.10928053135757132,0.0,0.1357653621823035,0.13805966526413588,0.270681284378974,0.20988373207362845,0.16261689650938904,0.005305219035912305,0.1591042661137391,0.2692276547963513,0.0,0.0,0.0,0.0,0.08051803062432629,0.018675969834237888,0.0,0.004568092757228024,0.0019642286178347627,0.0,0.004732073213288557,0.0,0.0,0.0063974221544828664,0.0,0.15244690514921014
['1+7'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002853783593104504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006225283279353097,0.0,0.0,0.0008459181073840773,0.0,0.0,0.0008865263150400133,0.004199162584128028,0.007656977553852094,0.0,0.005097940567718776,0.008272911724677335,0.001168454939301028,0.0013788784541152153,0.001546124705624251,0.0008075812175860961,0.0,0.0044053435578296244,0.005131815739269066,0.00444871314219255,0.000545904588270144,0.0,0.002458313680579781,0.002203587544875493,0.0,0.0066236978798802195,0.0,0.008300474646208408,0.007639603762404462,0.013625268875059814,0.010916402602605664,0.0005457142170557574,0.0,0.0002499224411605891,0.0,0.0,0.0003355400033543368,0.0019588293169469392,0.002356834006051406,0.0016279397414694107,0.006084785952476004
['1+8'],0.1645142927383422,0.10530898304491945,0.05544504246384924,0.25026076147557885,0.042151381798731284,0.30030508272162126,0.09913104404171466,0.25866687673865246,0.1676317337539839,0.08702453433353866,0.08195539598634644,0.21225408244890645,0.06454587966427297,0.0,0.0,0.16865070726195772,0.06739674284213792,0.14635899502891614,0.25306633716057514,0.06364500271708444,0.05228120272964422,0.10056201953570074,0.1078043777994254,0.24475579928438623,0.13457061297615341,0.0,0.2867588384370316,0.11284717992602267,0.22931713817322627,0.2574666284805627,0.05247785492984342,0.11562943419484185,0.07406809200114972,0.0659286066675517,0.06667184242785,0.07750116703503356,0.0,0.0,0.05988109160916442,0.1309043603347945,0.19463653597380023,0.06048990137273959,0.23956365457958348,0.04889532854111577,0.05698195617100863,0.030325906229065558,0.06418237202616961,0.08039269960220938,0.07896871536990145,0.052001967255952936,0.0,0.0,0.0016278371753665449,0.014914910386802392,0.08373032873097598,0.0,0.07135055324640083,0.0730275905084261,0.06029876709306286,0.006379493655547374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003832072745774737,0.014506409911386383
['1+9'],0.004449033952649406,0.002243900805208851,0.00042003372439671947,0.010014623738757838,0.0005019476205626292,0.01060728168215863,0.005477255709366621,0.01080334536399825,0.009709578323939837,0.0064549326741442205,0.005786222168746605,0.0,0.0007927377731715238,0.0,0.007505283389265412,0.004818594760284016,0.0006838809704203831,0.0033791713308476065,0.0038032508166238755,0.00043296210263621344,0.0005043916260225795,0.001432964568946547,0.004663402829273657,0.010751122877116825,0.004996837646672887,0.0,0.0,0.005224867950115594,0.010345163085753763,0.011260964844062495,0.0008768410515154521,0.00525010008359897,0.0010021541861573195,0.0005647723862421512,0.0008065015095227506,0.0006818846978966912,0.007424471944124521,0.01089570913192833,0.000422528758326072,0.006453896425301778,0.010416491115775145,0.01155777561413069,0.00910333234959268,0.017007607882650926,0.000544433775947147,0.00047100342956613787,0.0069522027733766945,0.00647790922001028,0.005927322343083639,0.0005590397187662606,0.0,0.01119661837097332,0.009366800730565852,0.055652000473054984,0.0,0.0,0.00435822005961479,0.0043146974765665685,0.006632620744956166,0.0007117274559489073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
