,29,9,3,46,58,55,45,18,60,32,11,24,49,56,6,65,16,19,39,27,22,17,5,47,33,50,26,67,54,20,37,2,41,42,44
Label,A,A,C,C,B,B,C,B,A,B,B,A,B,A,A,B,B,A,C,A,B,C,C,B,C,C,B,B,A,C,B,B,A,C,C
['1+16'],568480.078,3129812.53,1936256.12,237621.883,351854.778,368163.922,363347.045,519809.366,50364.189,307753.095,2642907.03,411292.871,448721.461,0.0,3035934.95,0.0,647928.781,399859.93,190010.838,478053.398,332636.889,446260.38,534276.704,441953.238,224551.262,238980.511,5259.238,12082.641,731539.898,323979.264,318492.394,1697826.48,269958.222,0.0,428686.077
['1+17'],12200.139,125504.028,60339.429,46950.514,0.0,0.0,59934.795,10946.419,0.0,0.0,33686.944,4743.931,0.0,0.0,81167.223,0.0,24969.044,34254.677,0.0,23491.4,4287.963,9669.582,176807.62,15939.478,0.0,0.0,0.0,0.0,0.0,12215.539,0.0,65283.802,0.0,0.0,0.0
['1+18'],33847.523,19482.972,14659.321,28706.031,3385.078,70056.766,52009.007,14568.099,3132.761,20461.272,26076.277,41282.118,51547.604,0.0,18230.526,0.0,15411.206,37514.999,24748.868,64340.978,10238.502,0.0,14336.182,52511.478,22421.834,35018.213,0.0,4713.814,86755.214,19952.954,35359.427,7548.822,37047.891,38882.734,66376.334
['1+19'],647115.445,933549.13,382034.513,767708.259,1419612.3,1992037.76,563643.017,733914.817,1268424.69,661671.225,1082952.08,736606.34,1584169.68,0.0,824378.884,0.0,700819.424,547563.874,394749.317,932235.095,348251.347,431273.559,378091.485,1494913.72,354190.679,883786.166,0.0,497619.834,10439.819,491433.684,1044009.64,363763.033,995406.615,591885.6,962309.133
['1+20'],18927284.4,0.0,0.0,145937849.0,61676073.6,74095592.1,19699410.0,312892.63,117793157.0,5297087.56,0.0,203301.032,34290012.2,0.0,0.0,1048286.21,479293.822,429220.169,19925512.2,23963980.2,0.0,397637.353,0.0,49429999.6,166214.685,40820163.4,9823830.1,76850147.2,375613965.0,167084.468,20368012.7,0.0,92372.397,22947468.9,59920209.3
['1+21'],10947713.8,10754812.2,9029827.22,0.0,0.0,0.0,0.0,8657758.44,0.0,0.0,7409263.91,10827974.9,37511643.1,0.0,0.0,0.0,9443146.86,11233674.0,7255909.1,8675032.9,11106984.9,10346894.1,8139793.36,0.0,6592346.95,0.0,0.0,0.0,4854034.87,10427481.1,12736938.6,10187414.4,9693760.99,2845966.33,4099294.24
['1+22'],0.0,0.0,0.0,0.0,252091.88,437467.803,0.0,356437.481,0.0,120581.473,124337.49,0.0,204656.043,0.0,0.0,0.0,135761.133,0.0,0.0,0.0,86428.191,0.0,0.0,243958.906,0.0,0.0,17431102.0,110229.857,0.0,0.0,179486.917,78223.709,0.0,0.0,0.0
['1+23'],0.0,898822.729,449998.807,344210.408,307113.952,2070627.07,0.0,735107.57,229139.934,535908.627,1026645.66,743711.764,1064238.17,0.0,726965.608,0.0,633822.503,696669.176,313833.188,0.0,792667.461,409935.443,258000.564,1170841.32,236613.582,291589.636,0.0,106984.344,1914531.47,0.0,817204.737,572702.254,1005011.14,319922.405,305417.987
['1+24'],1895968.28,796219.072,240300.764,3675179.86,1917936.52,2903051.03,1183254.94,1016656.74,1626861.96,1521011.73,1104382.69,1777773.81,2368711.48,482.283,707155.821,0.0,2189053.78,1289634.47,1232808.07,1907154.38,2178680.02,519793.224,136293.454,3006713.25,914043.656,3217254.99,0.0,1346785.48,4989401.36,1231707.81,2410521.38,706851.344,1114053.0,2453777.56,0.0
['1+25'],3107.439,7943.752,5185.113,3646.401,3428.2,0.0,5724.639,3844.798,4104.862,3241.953,5480.761,3844.227,5119.244,0.0,4975.633,0.0,3058.403,4706.375,0.0,7050.78,7574.955,5031.773,0.0,4673.415,0.0,4163.199,0.0,0.0,0.0,2015.703,4799.318,4986.956,3711.727,0.0,0.0
