,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
Label,B,B,C,A,C,A,B,A,A,B,B,A,C,B,A,B,C,B,A,C,C,B,B,A,B,B,A,B,A,A,C,B,C,C,C,C,B,A,C,B,A,C,A,C,C,C,B,B,B,C,A,C,C,A,B,A,B,B,A,A,B,C,C,C,B,B,B,B,C,A
['1+10'],0.0,23821.121,31938.762,24386.705,57671.714,0.0,26895.965,24177.358,21.393,17498.634,9963.95,18255.095,21796.037,0.0,32030.633,25005.79,21629.732,17856.998,17176.6,10079.5,18885.809,11088.857,0.0,11007.826,0.0,0.0,23186.507,25180.576,0.0,4666.77,2790.191,2349.616,4468.922,0.0,3841.312,15746.08,0.0,5604.531,3372.65,2940.033,0.0,0.0,3076.64,0.0,64780.59,4097.338,5606.311,8317.924,3826.477,20330.239,0.0,0.0,0.0,0.0,7643.088,11.345,2701.033,4442.909,0.0,3509.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+11'],118402.303,0.0,0.0,0.0,0.0,53356.329,0.0,0.0,0.0,36772.525,0.0,0.0,0.0,0.0,0.0,196387.813,107858.194,123395.963,28703.708,0.0,106504.645,0.0,0.0,90129.475,61461.217,0.0,135865.491,179566.731,149881.055,0.0,63950.514,146308.601,0.0,64884.517,173079.371,0.0,128672.56,91292.752,0.0,0.0,102661.352,368025.334,126481.831,522580.04,0.0,0.0,0.0,193868.106,101832.541,0.0,0.0,369120.672,399007.414,0.0,215815.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+12'],251646.903,48810.599,192533.498,234659.948,193555.905,242490.809,230074.406,254595.615,231301.84,208888.229,142628.831,207970.746,238675.64,0.0,317859.876,335551.247,311600.1,275946.527,81631.072,265977.941,126631.407,59513.71,113277.376,293507.151,309062.546,0.0,336206.005,204201.92,271800.301,247506.242,257623.905,286244.15,317587.007,233498.561,217000.128,270082.492,183403.008,220373.087,207182.363,238224.706,217522.839,281016.285,284326.113,339477.234,401308.709,292406.321,249918.612,244595.086,276005.794,286624.199,0.0,351553.97,395405.692,330721.793,244312.839,0.0,170762.364,152675.385,181934.669,137289.527,54959.454,0.0,7080.411,0.0,0.0,0.0,79955.123,95342.87,255105.299,201978.392
['1+13'],0.0,62640.47,0.0,0.0,0.0,73040.144,0.0,272725.986,101393.107,269276.776,187097.367,449227.252,0.0,0.0,40158.648,12090.066,12228.599,13605.684,0.0,0.0,0.0,0.0,14158.082,0.0,58408.212,0.0,76505.041,76943.012,0.0,0.0,44176.679,74622.015,54315.253,0.0,12259.57,32560.167,257642.033,162236.726,0.0,394266.956,366250.824,149680.57,49677.153,172988.314,102190.369,26764.272,558019.996,562501.788,675905.938,0.0,0.0,96495.846,0.0,4116518.12,340593.708,0.0,0.0,184467.432,0.0,0.0,455511.241,0.0,0.0,0.0,0.0,0.0,167980.741,0.0,0.0,0.0
['1+14'],154015.262,146144.333,207269.095,230884.486,217595.367,268694.146,217988.874,222877.604,129482.71,119905.552,193119.685,160603.739,242955.64,0.0,278813.878,198834.035,107122.627,271741.899,377629.544,334254.059,315981.201,225719.843,300715.265,355174.918,378589.152,0.0,378607.557,98697.525,193346.246,210612.019,146034.164,183178.984,169077.273,166077.115,127815.622,96947.677,127025.589,176352.435,135065.665,205449.786,128541.046,230495.387,243523.429,263187.62,170912.381,183896.592,185410.096,174798.586,152359.144,238721.21,0.0,305419.098,308919.299,214815.906,0.0,0.0,0.0,6146.189,14472.172,8744.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+15'],0.0,194125.392,247829.979,288260.817,257671.048,327033.318,298874.026,276944.56,0.0,243432.332,254771.186,0.0,288302.996,0.0,292513.281,309745.724,305044.782,0.0,327538.68,292747.291,0.0,301683.527,177459.968,303877.412,332319.785,0.0,374877.671,308004.292,172093.995,0.0,197527.302,156998.32,172128.168,0.0,179722.135,261996.114,0.0,0.0,0.0,0.0,161635.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234643.304,0.0,0.0,164091.018,0.0,222334.697,0.0,109428.015,106621.8,63989.975,114551.359,0.0,0.0,0.0,0.0,0.0,0.0,1205961.0,53819.892,0.0,179413.689
['1+16'],3071653.12,1697826.48,1936256.12,2272484.4,534276.704,3035934.95,569654.201,484946.872,3129812.53,676588.247,2642907.03,667994.964,641937.585,0.0,896501.817,647928.781,446260.38,519809.366,399859.93,323979.264,299721.707,332636.889,316580.37,411292.871,0.0,5259.238,478053.398,377547.659,568480.078,429512.46,282056.613,307753.095,224551.262,231573.708,0.0,248032.388,318492.394,0.0,190010.838,364236.803,269958.222,0.0,518804.645,428686.077,363347.045,237621.883,441953.238,433205.918,448721.461,238980.511,0.0,286151.207,269315.353,731539.898,368163.922,0.0,453607.741,351854.778,220291.257,50364.189,19176.652,0.0,0.0,0.0,0.0,0.0,12082.641,0.0,109747.113,137043.041
['1+17'],164666.409,65283.802,60339.429,75308.74,176807.62,81167.223,238219.906,127082.317,125504.028,83153.652,33686.944,115076.752,72721.883,0.0,26482.052,24969.044,9669.582,10946.419,34254.677,12215.539,5706.139,4287.963,8690.429,4743.931,9595.577,0.0,23491.4,9120.763,12200.139,3004.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025.518,0.0,0.0,0.0,0.0,15754.731,0.0,59934.795,46950.514,15939.478,13662.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
['1+18'],10972.514,7548.822,14659.321,16611.371,14336.182,18230.526,20003.584,18222.575,19482.972,9208.345,26076.277,30484.056,8844.091,0.0,26225.884,15411.206,0.0,14568.099,37514.999,19952.954,42959.317,10238.502,36552.099,41282.118,34993.266,0.0,64340.978,48462.417,33847.523,36612.559,30303.31,20461.272,22421.834,30347.798,22376.543,35889.378,35359.427,38522.617,24748.868,49939.485,37047.891,38882.734,47261.055,66376.334,52009.007,28706.031,52511.478,56683.091,51547.604,35018.213,0.0,62545.827,66230.325,86755.214,70056.766,0.0,3453.381,3385.078,7139.615,3132.761,6407.175,0.0,0.0,0.0,0.0,0.0,4713.814,3531.386,2370.632,9686.31
['1+19'],591502.468,363763.033,382034.513,632473.847,378091.485,824378.884,996732.604,933537.838,933549.13,950672.077,1082952.08,956887.107,395190.2,0.0,665342.766,700819.424,431273.559,733914.817,547563.874,491433.684,492722.979,348251.347,760428.927,736606.34,859023.265,0.0,932235.095,1085707.22,647115.445,675681.763,454100.885,661671.225,354190.679,477075.827,368384.246,497004.937,1044009.64,963724.887,394749.317,1150463.08,995406.615,591885.6,958508.231,962309.133,563643.017,767708.259,1494913.72,1505040.76,1584169.68,883786.166,19315.0,44961.035,15649.726,10439.819,1992037.76,0.0,1788156.38,1419612.3,1423202.38,1268424.69,751730.575,8207.757,7280.068,0.0,0.0,12898.526,497619.834,548228.387,951666.866,795298.205
