,29,9,3,46,58,55,45,18,60,32,11,24,49,56,6,65,16,19,39,27,22,17,5,47,33,50,26,67,54,20,37,2,41,42,44
Label,A,A,C,C,B,B,C,B,A,B,B,A,B,A,A,B,B,A,C,A,B,C,C,B,C,C,B,B,A,C,B,B,A,C,C
['1+202'],3183638.85,4035603.0,4159902.04,4358994.2,2879973.73,4340139.88,3032944.73,4631668.18,3242708.79,3147457.35,3906826.51,4452600.12,3289753.27,0.0,4153222.02,2704669.26,4650902.05,4699206.14,2666958.99,0.0,4286528.11,4352944.01,4188294.58,4359705.84,2339254.76,0.0,1880073.17,3007514.42,6166939.56,4704144.99,3458330.58,4279342.02,3414502.97,3761915.44,3220670.56
['1+243'],17681.556,25405.064,20145.067,18035.073,15495.517,22512.203,19104.572,17805.847,17244.012,17293.583,19524.999,23278.787,16067.786,202437.601,26228.549,15974.033,22714.468,25789.928,13943.676,27138.523,23152.849,24134.32,19128.682,16940.786,14334.891,16408.754,16218.795,13065.984,42666.586,20926.444,18362.267,24194.319,19779.293,24183.597,22356.928
['1+251'],79600.263,94132.732,24288.473,40046.339,72391.133,168516.941,33800.42,101237.162,80611.223,76044.145,83974.497,88509.476,144882.879,0.0,68151.064,56412.083,100163.353,112236.165,26105.003,84093.801,75044.118,43771.053,25294.28,145182.073,26535.076,37259.891,225218.92,67210.854,254117.719,42245.321,125963.911,62707.033,119568.611,39207.759,37789.684
['1+526'],1171234.15,2462470.72,131428.873,152608.676,1658360.32,2696251.84,314504.154,1415577.19,1192222.78,783861.674,2209520.96,1231904.36,2662422.76,711278.822,1313420.1,1154892.57,1537937.42,1491248.75,185200.678,1061190.92,1187191.54,232900.055,141352.698,2478620.44,138657.155,278765.922,0.0,1207560.9,1050189.61,408429.079,1638194.12,1437668.18,1381538.94,142571.27,197160.858
['1+910'],513343.164,723117.998,433877.878,314319.615,429972.847,556233.179,327806.84,855182.603,342950.533,404176.279,679564.083,779799.906,506630.453,398328.986,751031.699,405842.721,795116.507,996002.564,159982.098,716761.06,768844.191,393815.639,458059.803,660798.309,244373.603,377270.565,57201.157,361220.021,502947.945,967807.269,485333.481,612922.719,241207.553,297647.702,399749.879
['1+934'],637984.772,710069.678,194241.05,213176.212,527303.371,640033.158,358760.85,1048566.52,362249.361,639194.534,654754.945,667340.426,0.0,673574.537,757614.174,357980.693,608792.121,793011.425,244017.546,803593.077,974459.668,319344.339,1080129.39,605940.16,265046.376,247626.82,831581.705,245041.922,1032362.91,181788.046,645424.04,608925.306,598895.083,175309.475,0.0
