,63,10,73,72,60,18,69,43,42,35,51,32,30,56,15,1,6,70,20,37,22,78,74,65,34,23,48,28,12,3,7,54,64,4,75,29,27,62,40
Label,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1
['1'],16257.4069142,12474.0,13008.84116187,13834.37954748,15010.02997123,6059.37025283,12866.99318048,19065.73037619,10509.07264805,16294.63279446,10907.6627663,12929.38624514,11036.59798103,9848.57432864,13595.11936986,12545.27454938,15418.48791345,11010.83337662,17258.98937429,15887.54319559,12136.14154033,11834.47533856,14498.61682118,10851.16805059,15631.91325375,11971.1411967,14237.88301249,9987.56240354,12943.0372046,15944.49652973,11137.74901248,10077.94984751,12134.47247776,13917.89515113,11009.93142128,13994.44641323,11530.732031,10746.38597988,8427.19567531
['2'],105226.58857389,166055.0,181592.19912004,154462.77069028,110091.92708791,0.0,161390.74965226,142229.29840451,180074.34693883,159248.11175432,179859.06969145,186606.21660286,0.0,165958.93183066,113568.89111649,167237.34237883,0.0,199468.73708433,107398.12780444,137115.21443517,163692.32259223,172123.21721627,161163.77365204,170683.33700704,167584.44901022,157185.01940632,160834.03695706,194964.97412597,166343.76471504,127639.57064675,198442.10214158,168295.39838952,164614.23025985,134301.86969033,197233.38207743,157868.77863535,175992.33460506,170121.23506381,236660.75684759
['3'],85782.44521047,60032.0,62517.73447339,66813.94349288,77556.50875412,73786.02144943,60618.77114761,89892.71558283,59534.70926586,73228.05280042,55419.40895253,67268.80367274,62377.97533908,55149.87174954,77060.38977036,59733.29429272,66167.15631493,55062.32532219,92176.16122984,84504.10344077,65176.88085148,61791.91132258,68518.04267457,60944.82105039,73378.95481127,64515.23709019,66262.13974557,60105.66761174,58903.68759889,67453.78282447,58666.29005022,55280.98696239,62098.18309251,68739.97212183,61514.66343134,65712.8516476,61785.71269766,59374.0094473,60678.19955601
['4'],43043.90126076,41485.0,36592.39739999,33988.07647025,44531.74296942,27408.91300087,31645.45753766,42247.79554681,28135.79060669,39424.78311258,37964.20020301,38212.67995256,31281.87228785,38508.62258453,33407.97261269,36241.90425376,38723.20986567,31881.14041121,41825.22633921,38005.05179269,33431.82833128,37424.41807752,35945.18512134,38268.67705593,37596.42115821,33129.38294889,35857.84875784,30037.52589347,41914.39461648,39637.04559143,35512.59253477,38915.1146401,39435.01679362,38739.69310878,36424.13633393,31653.99486959,0.0,36325.77980402,30670.2108705
['5'],2569.13406821,3472.0,3361.13032932,2983.59810406,0.0,0.0,3104.45563119,4674.53992878,3192.19650619,3952.25778872,3201.1988761,3915.03326412,3458.16578948,2106.96228152,2282.10203425,2322.38454751,2253.38592256,2881.96861372,3221.47474425,3586.01143643,2928.82516086,3547.43200753,3322.10141284,2558.13181982,3703.25834911,3119.19989624,3822.90632114,3409.69574789,3289.72321509,2114.02643058,3572.62663767,0.0,2760.50885438,2266.89462829,3308.84226983,2889.30284093,3355.29760115,2595.83309987,4006.80282321
['6'],5479.21220177,5569.0,3911.6500909,4667.70142447,4594.2413552,3208.40943208,3784.83477457,5712.18505583,4191.89663715,5486.62408042,4205.89678763,5510.37599037,4139.31965711,4352.24422428,3640.58773086,4487.17435192,5061.7930083,4406.5769214,4955.93457198,4923.47103228,4531.43279256,4815.28676835,4941.29698987,4482.53406903,5785.91228788,4556.76450585,4947.29053324,4067.36902151,5366.29613414,4316.71784027,5255.30814316,4259.37708936,4974.22239035,5077.2388415,3848.71243715,4171.51046422,4341.31528943,4248.86143313,3962.57498775
['7'],25848.61117689,28947.0,18278.43999801,34369.54106803,29531.83742821,26532.54761239,17312.93972445,21628.45128953,24855.6250164,23407.79755186,16650.08965563,23344.66344468,22674.33668412,27953.43851364,19227.89622899,20042.63066093,19006.39138839,21340.437088,28691.88245101,21662.55795986,22926.7296184,20764.17783209,24119.31727701,23942.44245882,17971.85378657,26212.49003034,27432.62004392,25151.46703824,26449.58220283,28420.92573357,18506.29145269,26727.93216776,21337.7067612,23190.2854993,22713.63265034,29215.60363648,22419.48851676,27581.86122854,16826.89837181
['8'],17266.46359247,22612.0,12882.16242103,16764.53068866,14375.56569005,9749.71901951,14060.36615585,29252.68869718,15854.65745589,22074.64119878,18340.83975279,21128.29245662,12477.50039332,12586.01692647,10826.83595788,16246.91851516,17871.68145476,14904.44843931,19670.11135252,18820.90293253,16424.16905739,13471.39342277,14216.393663,13877.05264871,21375.50912442,14618.54897086,22335.80407095,12372.19498013,22483.23452836,17246.60508014,21596.01520752,16864.7694787,16135.07619987,18692.57105456,13206.05486209,12435.9109072,12638.52408607,13739.30893331,15546.68183731
