"","men_Pt004_RPLCneg","men_Pt007_RPLCneg","men_Pt008_RPLCneg","men_Pt010_RPLCneg","men_Pt013_RPLCneg","men_Pt020_RPLCneg","men_Pt025_RPLCneg","men_Pt027_RPLCneg","men_Pt047_RPLCneg","men_Pt060_RPLCneg","men_Pt063_RPLCneg","men_Pt068_RPLCneg","men_Pt074_RPLCneg","men_Pt089_RPLCneg","men_Pt095_RPLCneg","men_Pt110_RPLCneg","men_Pt116_RPLCneg","woman_Pt003_RPLCneg","woman_Pt005_RPLCneg","woman_Pt019_RPLCneg","woman_Pt022_RPLCneg","woman_Pt032_RPLCneg","woman_Pt036_RPLCneg","woman_Pt038_RPLCneg","woman_Pt044_RPLCneg","woman_Pt055_RPLCneg","woman_Pt058_RPLCneg","woman_Pt070_RPLCneg","woman_Pt085_RPLCneg","woman_Pt086_RPLCneg","woman_Pt087_RPLCneg","woman_Pt092_RPLCneg","woman_Pt105_RPLCneg","woman_Pt113_RPLCneg","woman_Pt119_RPLCneg","woman_Pt122_RPLCneg","woman_Pt123_RPLCneg","woman_Pt164_RPLCneg","woman_Pt170_RPLCneg","men_HCW011_RPLCneg","men_HCW012_RPLCneg","men_HCW036_RPLCneg","men_HCW059_RPLCneg","men_HCW067_RPLCneg","men_HCW237_RPLCneg","men_HCW282_RPLCneg","men_HCW564_RPLCneg","men_HCW574_RPLCneg","men_HCW578_RPLCneg","woman_HCW002_RPLCneg","woman_HCW008_RPLCneg","woman_HCW019_RPLCneg","woman_HCW035_RPLCneg","woman_HCW045_RPLCneg","woman_HCW080_RPLCneg","woman_HCW099_RPLCneg","woman_HCW103_RPLCneg","woman_HCW105_RPLCneg","woman_HCW114_RPLCneg"
"Label","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC"
"321.2609@479.3","58813.2643","54061.63801","56086.12079","44456.96861","45472.25968","54148.47093","55677.07151","45117.51241","36780.93048","63794.15247","62651.2395","47562.2753","48969.94049","41913.02502","55545.93688","60777.30058","49930.54664","55020.7281","43941.4413","50562.04033","48308.66083","50630.24593","54610.63688","59742.70694","41726.52014","44071.45942","53311.54697","55402.89047","45488.03191","51765.15593","48801.53168","45623.22575","45859.12952","52464.12908","51095.60176","54147.35425","61824.69729","55520.3515","57189.40047","36244.22685","25110.41156","52898.19597","46601.33726","44367.61466","39522.46289","50101.0317","42876.86273","48875.88019","38025.93817","51826.08277","57974.75009","40813.41514","30118.35958","36990.76254","46937.85563","39123.50397","45537.56222","47229.37072","59428.79963"
"321.2788@519.79","20518.95984","29202.14448","11600.89888","10805.12419","14503.60748","17175.28385","12892.79665","5971.10992","5494.86969","16618.06821","27122.53113","14072.57973","18964.26262","9541.19528","13267.1474","14446.41605","12690.86973","14693.39289","15790.02875","24999.62352","16212.57294","14225.94739","14056.92616","28870.062","9436.44205","9870.07906","21211.29857","14319.45635","7617.65293","11921.82086","10592.24546","11100.20126","7224.03957","19253.00071","15231.15458","15341.18515","16756.70873","17612.44341","28402.74428","10264.14184","4973.74226","13119.81081","13690.15092","14913.31737","6364.22991","11738.41978","9965.22815","10748.67429","12228.1616","9999.04279","14502.34396","12965.96831","4545.84608","15470.98887","7107.38066","9301.24803","12060.95934","14004.35536","11643.35696"
"322.2433@487.96","166067.68182","149272.31208","138697.49126","133388.00072","131762.12474","131781.60745","147725.07442","83477.94173","106617.87766","140663.11855","180843.14469","120480.7912","135031.82736","117265.78228","147437.5348","143761.65103","121915.35552","140647.0855","122587.64849","150468.71396","129400.46015","140097.25296","150959.66753","148124.67315","95168.00366","139467.03525","161878.23329","128488.55111","113594.90458","153537.01286","143243.20449","129311.44886","112547.44904","142250.48112","152182.88259","133501.7286","152145.00043","156440.44549","156018.37113","100464.80007","64190.84899","137626.59882","127351.67974","125043.31534","99094.92834","131630.70329","107596.74806","136506.57217","99469.21852","146921.26276","133562.71341","113952.20383","65907.53275","96331.57138","111109.17168","118099.77464","100334.40214","137616.01393","152183.9052"
"322.2647@479.34","8579.25717","8805.73536","9798.84348","8214.08154","4911.97785","5776.43997","9068.83136","7596.28091","6139.82053","11591.5534","11837.12492","8076.32781","7792.64381","2708.45754","9547.28389","9490.55935","8126.69839","8611.87253","5844.55657","9158.83891","9211.57736","7424.02912","10584.21242","9609.65948","5495.09713","6400.45804","8090.21086","8861.95059","6880.2373","9199.57137","8959.50814","7466.93938","6910.84955","9013.1021","9067.19763","7629.92407","12716.9201","8813.28549","10171.28421","5039.7615","4331.94281","9460.57741","6514.08601","6435.95241","4175.082","5962.65367","6661.70978","6235.40881","5932.57784","9659.50953","9819.0205","6448.7445","3918.42216","6489.10765","6432.00046","4900.50525","7204.53211","7737.53693","9308.39165"
"322.2761@519.06","7217.19882","8595.47239","7423.52878","6470.23512","6391.4962","7525.42857","5772.09998","4231.50063","3759.9414","8078.47367","6578.11607","7047.67848","7835.12207","7725.63348","7938.88243","7221.92434","6569.71623","7903.21822","7303.99669","10119.35328","7162.63776","7815.15443","7737.77851","10861.34532","6834.19576","7255.07067","8908.67151","7386.75814","6274.31386","7004.17019","6254.59749","6217.244","5720.07895","6700.07091","8064.45164","6108.88811","7827.5542","6634.40363","9804.15018","7114.99238","6238.02232","8038.94837","7747.50966","6182.09463","6118.82751","5469.38374","5007.07064","6499.01257","5529.26034","7071.97033","8086.9395","5521.31033","5742.34345","6067.17286","5053.22197","6617.05683","6009.00434","7601.07081","7648.54782"
"323.1676@353.16","47602.51253","59272.35884","54129.63711","63864.65615","53463.93853","41666.34355","47605.31788","91257.51499","44851.69654","44377.13051","58525.48289","49789.98465","58425.81468","52432.08073","68157.7983","41821.77073","48191.26017","59380.71877","47383.47647","70508.19161","51938.49394","52542.67158","57868.24164","51851.78039","48506.88153","58634.89136","63288.5528","51027.60392","51372.42352","55167.85528","55066.11039","82401.80312","43919.85588","97865.08505","57131.86486","55111.40579","52678.20373","49856.03577","46348.14167","57712.48769","78080.01007","60931.56327","55186.05845","52444.27017","51037.02896","54191.76985","50277.77196","53003.07904","47073.18294","50570.30556","53989.794","50006.99977","44385.48473","52624.99064","48976.46112","57379.35662","49897.45138","57152.9885","48865.47459"
"323.2201@479.21","1859111.14519","1653391.56978","1493559.49113","1164715.40443","1205851.56651","1440374.2916","1507302.15149","947303.82591","886250.993","1733373.03396","1999315.08238","1298252.44351","1458870.9661","1146967.1604","1512260.90653","1499701.15238","1318027.44947","1609193.65719","1221710.46678","1824740.06459","1427028.1431","1350922.50274","1452941.23055","1800711.25246","883108.97855","1038532.87165","1789799.12483","1610944.08719","1079832.2117","1448202.69464","1364595.20045","1335990.23739","1037241.64395","1535882.6183","1726064.37727","1389375.35806","1641442.9983","1674693.29119","1718515.63648","814414.65223","583900.76971","1386620.36898","1189379.36677","1184198.27212","930714.98519","1259753.71539","993938.10544","1212020.92433","909833.47846","1432118.73908","1439578.56471","1127304.4577","598244.48503","874305.24663","931494.24566","1063049.40058","932591.23377","1247864.50094","1466359.07446"
"324.2231@479.2","332449.94122","293965.44625","261326.77709","208036.17779","213167.3052","253782.27235","266276.95153","165481.70618","154385.87279","304073.71916","353817.23349","228832.82532","258518.40057","205168.90446","271990.53503","266550.8435","234580.67777","285101.84117","214345.47593","316272.88973","252390.46868","241192.91588","254645.40127","321910.78158","154829.95748","186542.46756","318278.61248","284004.78368","188860.00182","257844.74583","243318.43877","231196.11283","184820.23394","267659.57952","304817.21675","248523.83415","293228.22656","298926.56084","305308.47165","146184.05524","102003.98035","249623.64247","210457.45198","207892.76677","162360.30469","223625.97014","174067.65672","215928.07634","159536.12324","257365.51452","256238.48187","198320.40129","107720.37618","154679.39189","163123.04522","186622.50841","161991.52377","221060.02779","260799.05992"
"325.1832@568.6","197910.19592","5895758.86973","257605.64102","144220.98361","195010.98342","949340.37522","193799.79722","148316.14631","1097131.26394","1233632.74563","191515.32341","778408.23007","332920.70565","128565.7336","202360.74433","996427.29021","212098.51424","2741034.74655","1594723.30146","6193740.89373","108044.86816","161128.80127","1713179.66944","931626.23598","198284.66588","257308.42681","452183.467","1447137.99378","1243673.65629","243723.42735","171682.7041","2197281.07827","853985.40893","2179906.38254","77365.79545","843901.90786","1902781.71484","1055691.32021","488461.92508","4068563.40986","1325909.97682","273470.75807","3669681.15032","101670.96726","1871788.17818","145915.64697","707779.63167","8070771.50967","486898.82479","915517.10914","692006.27419","2597196.10294","1031451.05815","1492015.36051","912759.37435","129497.68103","987203.81114","285526.02717","2759613.30998"
"325.1833@602.81","1526044.0734","1977974.12355","2386725.87691","3170244.77057","4879128.031","3388595.84452","5111261.63913","1559377.16045","1052800.47666","827859.19354","3946314.07362","1622049.82803","5079269.6933","5676122.81818","2525866.08059","1159838.29114","717783.82524","532723.86188","1219907.8379","5734166.25675","3529878.43397","2653931.04389","805688.03258","1947243.8663","917119.7419","1957752.06212","2054578.54741","1294872.76894","1149053.99099","2314474.54926","1682026.85786","1060699.27079","938974.8445","1407637.32343","5281193.47545","810723.5948","1124869.72957","312716.72769","861517.31747","4075844.60756","1171752.18287","2092172.81252","3398929.76242","2345762.57594","1638288.11804","2114529.26343","515654.95995","2855059.2647","868765.84964","1045951.21807","548486.55945","3367807.19346","390662.16704","2750013.87352","1244005.99959","365076.00617","926664.83958","2117948.56363","634020.95947"
