"","men_Pt004_RPLCneg","men_Pt007_RPLCneg","men_Pt008_RPLCneg","men_Pt010_RPLCneg","men_Pt013_RPLCneg","men_Pt020_RPLCneg","men_Pt025_RPLCneg","men_Pt027_RPLCneg","men_Pt047_RPLCneg","men_Pt060_RPLCneg","men_Pt063_RPLCneg","men_Pt068_RPLCneg","men_Pt074_RPLCneg","men_Pt089_RPLCneg","men_Pt095_RPLCneg","men_Pt110_RPLCneg","men_Pt116_RPLCneg","woman_Pt003_RPLCneg","woman_Pt005_RPLCneg","woman_Pt019_RPLCneg","woman_Pt022_RPLCneg","woman_Pt032_RPLCneg","woman_Pt036_RPLCneg","woman_Pt038_RPLCneg","woman_Pt044_RPLCneg","woman_Pt055_RPLCneg","woman_Pt058_RPLCneg","woman_Pt070_RPLCneg","woman_Pt085_RPLCneg","woman_Pt086_RPLCneg","woman_Pt087_RPLCneg","woman_Pt092_RPLCneg","woman_Pt105_RPLCneg","woman_Pt113_RPLCneg","woman_Pt119_RPLCneg","woman_Pt122_RPLCneg","woman_Pt123_RPLCneg","woman_Pt164_RPLCneg","woman_Pt170_RPLCneg","men_HCW011_RPLCneg","men_HCW012_RPLCneg","men_HCW036_RPLCneg","men_HCW059_RPLCneg","men_HCW067_RPLCneg","men_HCW237_RPLCneg","men_HCW282_RPLCneg","men_HCW564_RPLCneg","men_HCW574_RPLCneg","men_HCW578_RPLCneg","woman_HCW002_RPLCneg","woman_HCW008_RPLCneg","woman_HCW019_RPLCneg","woman_HCW035_RPLCneg","woman_HCW045_RPLCneg","woman_HCW080_RPLCneg","woman_HCW099_RPLCneg","woman_HCW103_RPLCneg","woman_HCW105_RPLCneg","woman_HCW114_RPLCneg"
"Label","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","COVID","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC","HC"
"76.9692@482.31","101814.63986","93332.78829","112988.88577","121257.91097","110666.49814","95739.01115","111719.98392","114472.59991","111627.82582","108998.97911","104994.47851","55031.52288","112143.22732","116129.38723","109454.0393","111090.38773","105715.72133","98763.54438","100148.94021","104843.00696","109599.99914","99086.71388","111910.38451","102989.96891","101879.06013","123865.93453","92380.41423","91916.81286","107460.76182","110020.28344","98940.22335","87421.2779","100631.9159","93294.30364","104390.69067","90464.01118","105953.10774","96656.84498","90889.5288","130605.5471","111218.32178","112436.84875","115072.67592","53400.20475","112342.96266","113487.25169","112161.00742","121036.31468","90706.84009","105808.89363","109564.22123","104127.29431","127339.83938","111615.96004","125491.1151","116378.76972","82002.8927","107395.27808","103812.13276"
"89.0243@30.62","91940.54266","86787.74121","74730.25261","49193.20623","56493.52358","73001.74215","54447.05397","48276.20254","30167.57342","65235.97445","36421.85605","34576.04885","62606.94415","77869.04477","92844.98318","48941.12787","68936.40216","79077.75599","69351.11249","52009.55386","78314.65509","54638.75333","46336.59973","74980.89849","43838.70183","34595.37296","89349.7339","49572.89035","44928.87181","63898.90053","46040.2883","58173.03959","30457.86367","46087.15557","143488.08174","58371.92517","64631.88522","76036.66209","42033.92235","64657.26478","20214.31261","94966.76353","44086.02261","45391.33206","34044.48123","79430.26397","52658.98201","76474.06465","17922.06621","21376.93915","106026.33587","98171.75956","43515.11567","35013.52988","41178.81743","34070.12614","40975.28516","61189.84212","45161.15808"
"94.9797@482.45","518588.00856","508390.50358","593122.05043","575074.01259","536199.37049","505618.03012","559862.97798","624937.71387","585866.36043","588584.25597","544838.66408","554611.15675","516643.64427","571239.17837","582515.31375","570442.29984","581575.32254","531583.30211","496389.85191","481551.10979","517834.84024","542833.77962","563320.94491","530405.99775","535324.9854","600896.16493","508794.71927","525130.51779","547265.8718","530928.69922","517486.73857","510901.9923","537756.85797","531176.66617","485807.69688","500889.95562","595021.55933","532125.99445","483062.75478","638670.89342","432954.0617","557000.07064","569810.99418","553455.26744","559665.91013","583845.08465","590004.84308","614785.25636","462965.35783","550124.65168","568018.02003","540877.62755","672121.99923","577611.15913","649305.37534","538267.62255","561177.96686","558365.4134","571754.15894"
"94.9799@629.66","180200.71285","146229.51136","101740.96468","100222.80343","97812.4503","96094.12877","97690.49254","165676.0205","85154.25086","96649.00622","99663.93177","95599.5938","164943.16303","98577.76701","142419.08619","97301.7478","102112.0417","106241.36171","139058.43927","95677.36207","97501.19054","113728.057","128623.568","131514.74407","96100.37671","103420.36073","100212.50402","149879.75892","107638.30212","98255.72435","99639.94642","94379.12676","89490.85504","97227.69437","96078.04064","98875.31155","99483.94408","95638.28824","128617.0564","100534.00809","88868.71289","106673.57692","100981.62412","107657.63716","88563.15228","120930.82437","101729.6563","140555.18891","94951.03627","136391.56067","95741.62109","149701.12023","91007.02379","109818.00027","86344.01979","101487.2842","95821.4359","110553.78675","89620.75866"
"96.9592@638.38","92409.98728","87314.78773","86465.47247","114985.3312","120201.81761","78483.3458","105283.23411","78866.30701","75176.22005","82781.2029","136664.90007","82107.83944","117155.53874","113059.37237","94354.75099","75777.83022","78336.32938","88230.38872","91027.14558","138456.03235","115029.1217","95569.98201","83938.6894","79084.48695","73698.5457","104764.35897","95598.46666","84687.64407","71108.8076","109370.76638","92213.82702","88593.07858","72574.40128","84819.56433","119751.65788","75780.7609","81245.03734","72568.19552","77780.84195","129192.84816","82659.97899","91412.50077","100006.2453","92581.56298","81970.44913","92809.06991","80936.76525","107882.7177","75760.0031","77269.67302","75775.96407","92781.60544","78855.33044","85428.68342","80481.09275","153295.41354","77220.9288","97791.26867","78042.00243"
"96.9601@27.71","96173.32115","167345.64236","130600.59721","210105.2485","162779.91134","119623.24895","112491.89951","106630.86439","33672.31573","118338.38399","244990.32712","112343.61948","72441.55134","59533.42956","95492.65842","244680.39011","99006.09798","114142.22303","235573.6274","129473.53386","81030.06663","130989.5084","815657.08939","128136.69309","153807.51022","67000.60299","115712.78196","99598.60129","31597.52029","130004.0468","97778.00469","197249.91327","32910.36524","38221.0498","155795.23285","133498.5237","113587.78606","78823.73387","143694.4805","95718.1594","20916.70406","109737.5278","94151.94231","111189.7756","33678.23615","79116.27471","141319.72182","134823.29373","113113.8649","110838.88907","131737.31387","106734.56159","26322.43617","97787.93233","127552.55346","123393.39287","122147.07704","159542.36561","118356.62577"
"97.9303@635.47","420632.49801","426418.12785","445409.93723","313863.51943","309016.05038","567453.6585","371436.44837","515863.28738","546200.50154","575475.63405","363460.47103","504661.53249","285474.63612","294888.96224","429370.71254","541251.12247","527559.39419","436563.30967","531543.60564","254732.2661","277679.93713","407261.13684","490369.37855","490630.0854","534104.7537","331019.02185","375497.90549","548551.36079","546227.94967","346992.37953","392568.01311","557887.44962","545642.82694","490833.58329","264493.47689","562850.91054","494972.25903","524495.14947","565744.86694","330648.0297","533232.03757","387990.64536","360278.82089","408974.68998","534152.83749","438144.65233","515836.66736","386528.80133","558401.45547","529986.46002","515505.85575","395276.12167","562674.76651","424486.3319","529638.49058","257797.2432","546762.24922","414146.6618","533214.91553"
"98.9387@635.25","52063.42756","51043.98937","50098.51869","42794.97089","41476.04454","72973.64771","41379.49689","17334.07967","68594.82493","10156.58953","38204.4083","16428.09183","27699.40413","34341.70637","50674.66951","32363.08146","8745.92816","52267.80572","12135.56208","24418.79902","22590.85896","51191.77788","14635.65672","14256.4598","76609.45314","41837.85237","43933.00351","16752.52737","15290.56772","42046.89491","42560.96701","69257.34973","65505.36353","16460.51953","22430.08985","67608.09043","11582.77483","62172.16939","76964.88245","43819.35602","63576.10529","47439.12459","47346.31173","46266.84976","13642.20843","48889.45409","10319.73529","42213.53744","69801.74082","58659.56785","64194.11456","45558.32386","70164.06775","53071.64068","66442.10015","26531.60762","12269.31346","46021.07217","62260.43731"
"99.9248@658.25","437083.81055","482594.3604","470824.70776","243014.3433","241205.87436","673699.33954","297270.09649","548922.22662","646457.34889","618221.25233","279287.11656","556443.82143","216097.2819","216470.34778","468672.89437","590724.60838","573151.15435","481573.52151","560686.00528","200830.7399","206940.38163","391476.21526","542082.53136","513974.85937","672941.88584","274518.25181","338425.94432","596341.83187","594637.9475","300203.06175","398166.49866","645924.67867","662480.22677","520850.05968","211764.95179","695898.08522","537098.43084","602582.75015","682066.81911","258930.72872","624305.1839","387736.78574","311113.05529","434508.5671","563576.13197","476671.05435","558275.32748","371378.49111","701803.37514","621717.72805","614170.1685","409895.24304","681160.12042","464085.49281","649478.2564","209004.09783","660132.58463","362321.89028","635756.39633"
"99.9248@532.39","1629063.41243","1688391.71039","1806248.35192","1590673.01831","1617897.2229","3205151.18657","1652200.27115","2212887.70075","2689393.81779","2576231.88627","1456396.62979","2361021.44857","1698317.07433","1496931.41786","1703274.58078","2350271.75814","2690706.43874","1644061.69738","2587600.43919","1759831.42847","1077833.99845","1555720.67059","2482443.00996","2041884.05056","3181847.39922","878564.91803","650309.69319","2816181.72514","2896121.44453","1147961.16419","1495983.00954","2846534.84864","3202293.32589","2270653.42113","1672119.16208","3255055.20435","2371227.2027","2964656.41959","3055707.10452","1386303.62452","2729674.49458","1305724.77972","1351012.54679","1569859.98447","2360454.39845","1678706.26547","1083388.48901","1521983.61433","3168699.91503","2286847.18781","2700072.36692","723261.91571","3062001.17226","1881387.30357","1833018.27802","1229810.29645","2644717.93234","1318102.63563","3180088.75217"
"99.9248@570.73","10976589.79425","3926204.94542","7322817.98965","2056981.49157","3328358.78568","222287.30269","2237108.18079","3239118.52898","5564851.85181","4051172.72437","1485233.81514","16376540.51406","2024320.64489","2306406.92359","171265.26006","3323969.8727","16684218.95536","4956965.47879","5356908.03348","2189713.23577","2107514.03291","2212923.89127","4163810.37235","2811813.65287","3748845.52533","3296265.47518","3922926.05508","18350434.92717","18449351.56618","3539233.25188","4059578.28337","3695101.2126","3781464.97839","5330087.98391","1761692.68414","4091045.90331","217175.38038","4545412.85822","3653729.92866","2010102.81919","15806110.5383","4286353.69787","1629300.8927","2186431.02316","15992368.54259","2367867.41009","3553972.7445","4267384.30158","3569526.42729","3043775.23891","14291810.44563","2978092.86673","8256949.62527","3441701.94862","3706745.97857","3208145.66546","13401009.46745","4683607.61716","16516713.7106"
"99.9248@604.65","8042554.917","8653742.91069","8102960.04609","4814975.30268","2523117.27071","13284097.7954","5294363.23308","9815208.13821","9456854.15056","7134275.47008","7343460.19638","9320861.02141","6173154.87566","3026823.75067","5995150.28504","10086045.99778","9854553.75832","9961181.26971","11039791.97384","4421922.66683","372981.0516","8116951.38977","11852068.11437","9503527.99429","10020160.37078","6969919.07885","8116150.91448","10051040.41465","10227805.13542","4912863.93019","8538380.87814","10111884.2627","6731442.1839","6391242.80985","6152045.50773","9842159.1083","6148499.65453","12424048.45478","12062093.60837","822759.89664","9478362.93493","9009319.14108","7824277.25459","8179381.86371","9637525.47744","8454078.0467","9995677.7502","8081570.41158","10153726.67581","3819372.95546","9353309.13209","9706488.34568","10156684.29073","10748631.14186","11625431.1846","6335197.38609","9611433.16398","8256104.18848","9529279.488"
"99.9251@635.53","10926637.59264","11652004.14583","11479927.31291","8644198.32205","8674267.22706","14604902.05991","9733693.13059","79217.09377","14362093.32975","107731.45153","9855313.37461","79586.46589","7643326.57282","7912457.36472","45445.10876","14322693.30994","93883.7582","59521.44751","13954659.35849","7239953.16637","7600235.72926","10754808.43737","42592.49978","78236.08219","13924449.05341","9022160.0319","10166701.76758","14317256.02968","95944.69778","28089.43904","42949.35641","14487216.53785","13956918.68976","75777.24596","7465197.75997","14327707.43608","69490.12209","13813787.32729","14429444.31823","9290600.32897","14044977.26834","10520696.59466","9866325.5407","10775883.03167","87869.04654","54030.98351","92048.22767","10469495.90586","14353845.39584","13780166.33178","13709956.07201","10619220.16148","113128.83972","53956.7956","13802389.18515","6942948.28939","14270285.18809","10638837.13697","13955912.48356"
"100.0266@635.9","5006.50359","7118.90951","6946.13008","97166.14872","89843.39833","514830.99399","152025.96469","18771.3433","225268.69228","31659.50133","140470.17138","15935.74083","54989.14454","68650.80916","247932.21648","470898.10443","22814.19192","7456.21145","23698.29744","19038.53428","55559.87042","206928.4284","14452.27852","14280.06199","457479.17793","117172.48223","166195.77883","27176.52415","24801.1228","133790.64245","192213.54157","496165.30497","467091.88043","15034.17362","49969.07161","509586.66606","12662.78948","444614.9828","504514.99045","124960.21925","453469.2051","191172.07405","144431.71448","224717.62624","21244.97411","6660.32117","430773.98953","190190.48082","498012.33079","451859.15475","20936.80836","3768.41167","503436.57062","255375.47381","452385.72128","32670.3797","479749.11065","187277.1211","454853.29097"
"100.9298@637.15","1715208.94311","209170.96205","193269.23225","93316.41048","89599.51187","295642.82104","114892.10734","276633.46814","287999.55616","316142.78693","109580.84645","275022.98779","66497.03923","76108.59469","1757236.03514","296781.6629","284827.69008","217604.57494","281038.84053","945339.70562","67910.43758","154564.65012","236648.29073","229871.34702","276431.62772","96950.71923","119146.34968","292978.47423","290097.37899","112521.91684","151023.20091","289591.06172","271321.47339","237514.35373","64170.33598","294260.7164","243469.69118","287323.52012","276786.79409","97791.29904","303691.54705","138987.44228","113452.62877","156478.07901","277639.69432","1635167.58909","278709.40506","134385.32738","295637.51165","288878.77514","274209.25289","156611.7159","288753.13547","182210.54629","280997.24798","55936.59866","283597.93443","1554009.74701","277499.16699"
"101.9273@636.52","301367.52912","9431.41726","11284.35295","171747.252","231185.08877","447419.30344","191563.70942","14958.29224","14813.0132","17412.08726","327977.77429","14938.74665","195949.70728","277400.88371","308077.82098","14642.57996","14445.52362","312097.35372","14435.64942","187670.66195","190117.81425","284777.66553","12077.03483","11243.82425","439284.71074","346642.99985","268912.23342","16033.84448","469568.38117","255039.34723","284155.93601","508077.30607","14648.48511","12337.13276","275189.96268","438425.52345","12422.19079","16488.1076","453638.49675","259506.17852","420850.00995","293260.47326","263978.9186","301437.29721","15903.21628","484954.29819","15024.30151","425846.79877","435303.99375","409004.12523","15768.54682","281150.96328","500237.50405","300324.29071","15442.13062","174481.27096","15095.95959","269842.09721","15934.5007"
"102.9743@635.73","51851.40677","68063.6559","58917.01565","39854.99818","37799.92061","197108.97656","38126.35293","91557.67708","158087.42416","133848.51193","29409.72202","98443.85625","15503.27358","17176.48542","56277.08516","128490.32881","16100.32398","39721.57648","105171.62068","12868.42843","14897.78242","43497.82168","79546.53691","18910.06009","189886.33046","22737.06404","34592.21381","122613.80608","124442.13647","30591.40278","44720.72268","169902.99128","186621.87289","80979.32947","34424.75365","211547.0642","86133.65837","149598.99276","186111.83432","37366.34349","136378.00363","37737.87209","30479.73726","50326.86105","101478.34676","60364.82103","105533.40519","40582.95655","201058.88347","138799.57837","140321.00975","47007.72227","179051.20233","59775.55563","55318.69988","14042.62807","172255.01712","38076.32603","163734.89714"
"109.9332@609.05","498509.9695","947332.42885","853449.1759","330903.24653","329300.29714","467871.74545","462218.25356","585437.57825","1384085.40681","590306.40463","439130.24818","401090.6463","193682.74696","237322.0179","807093.9603","719601.98782","690656.53898","896818.33594","429854.25963","161429.65785","238887.60165","658489.59754","543427.15043","530597.5808","1705054.46997","407698.24532","906027.52287","680050.04677","435611.02683","489161.09174","653457.2204","1402664.19458","1481975.84748","612623.19056","202700.83541","544687.97446","507331.05124","1268256.12079","1495129.23526","360730.88866","1359548.21407","214014.76461","493142.6045","863040.57082","984452.22419","521144.02879","735959.8331","527880.12502","602850.50118","2106338.73275","645747.38281","620681.16167","1390574.61867","174952.42074","1471741.03899","153432.98253","1103452.59241","588948.27706","2283143.3184"
"111.9365@636.84","72290.87773","66175.17873","67407.862","89636.55884","86439.43192","59799.97571","85474.31216","61594.24731","58276.9107","59281.46452","80172.08491","57989.50026","74864.3894","85168.0526","70326.37118","60382.03922","58006.79532","67073.14532","59459.86582","64117.03651","78472.30002","71081.9603","62354.39292","67013.38651","57129.99992","86467.42999","73963.10695","62029.01837","59449.85991","78836.26459","67380.92755","55857.95742","58985.47039","66484.00444","69925.08028","56984.02869","62367.5863","56250.12879","52021.59869","87498.39546","58006.94888","72801.75701","76820.80886","67786.06337","60067.36842","67365.59758","59155.2932","74093.41996","57178.47167","60361.87558","58981.26632","70863.10883","61901.55219","65548.99639","50936.85277","58894.59347","59440.58349","75732.82506","57782.28793"
"112.9375@28.1","33069.28364","9354.66212","51648.77509","9469.08529","70336.63278","125177.12255","72864.26999","14566.37504","5484.48631","80557.18468","71992.23329","101848.67824","22676.13697","21603.48767","80549.41991","164849.84759","63981.53626","60695.77869","169995.62712","37968.2995","25273.85418","67297.87866","73519.66397","36474.49426","63782.16277","26795.42413","54723.11366","34209.45231","16270.8342","69852.37945","17267.35886","68188.70253","13675.46797","30765.04217","11721.70112","36038.20607","59292.1789","888.56329","1371.32013","36992.85827","3095.57729","38960.17869","14468.16556","21690.23223","1482.28319","68848.03684","16922.92759","70865.75859","30623.09769","27282.20524","42555.27206","37936.57681","5319.16732","20543.8832","7471.599","12201.21138","43577.14868","64951.99434","43024.70972"
"112.9535@634.39","67369.07971","29428.82575","68214.14666","54416.17277","57023.75662","73281.4493","60489.54769","69765.51564","76426.0471","16552.63839","62281.84528","69819.20628","53667.68772","53240.02699","67234.48742","28258.72599","71149.98632","64971.01472","70672.33085","48092.58678","54383.45981","63284.18134","68790.96059","71809.77217","29425.72535","59159.60837","60671.94192","28313.19686","28880.36953","58477.05646","26687.05551","27887.66232","29000.65929","22253.90766","50892.19548","26483.77525","24879.80952","27892.26428","25078.19352","28513.53355","29805.34553","61585.61707","57640.94654","26828.20349","72052.66714","66899.0601","71368.41326","63963.45491","26244.31954","74051.84429","16936.69077","63809.24368","78712.91281","26596.44296","29458.88068","41978.68837","72493.87991","27767.86019","49760.00817"
"114.9364@636.17","5717637.76991","6079911.64579","6255833.70452","6824970.60956","6896174.29273","4985163.19836","6942914.33449","6287156.41654","3923476.92917","4178676.79959","5788179.00205","5993742.6221","6905461.57652","6728088.51954","5909970.33","3125245.94217","3259077.91088","5811718.82155","6309853.41469","7058142.60998","6758557.08094","6190734.18984","5952521.19236","6014696.3891","3934422.93034","6846045.63399","6968493.50278","5348438.0996","5144385.49564","7296157.49877","5787214.69614","5334268.07291","4364320.01211","6121932.87646","7054944.43634","4386104.87779","5688412.05454","4694058.00757","5028184.27247","6974066.27611","4886126.7292","6888733.24831","6815947.48238","5678408.37322","5359413.20812","6073320.77492","5586110.86929","6784569.82861","4030548.70768","4379749.46461","5225571.76935","5967389.73988","5282799.77582","5414514.59133","2663905.76219","12317004.03299","4436223.57161","6969878.01927","3067229.63837"
"115.0431@637.21","16580.79302","18383.83351","18496.75289","8670.3997","11495.47222","21781.1187","13632.06471","18608.89123","16954.39921","16070.34771","12822.04512","14919.79992","8808.03965","8622.49606","17968.63182","17825.03642","18618.50793","13309.79124","16954.12007","8744.95268","8517.1273","17147.58099","18455.45986","19163.80545","16129.08873","13607.48681","15664.67221","18806.03805","15156.89849","12350.17773","13911.92317","17792.99903","15014.67484","16342.6493","9994.8318","20249.43062","15632.96496","18668.41419","20701.79706","13914.27887","16564.29415","13673.5672","11879.96845","8747.1691","9710.17365","16666.9171","15475.6636","13435.21943","17088.13512","17226.80326","19446.69036","13467.18247","20698.40479","14701.77249","18257.61414","7838.72717","16476.72617","16171.90461","17672.30776"
"115.9197@608.14","912101.07193","971300.80171","397470.39465","553691.81229","594603.63297","1215873.15609","559010.667","1445092.59605","1153604.68707","153550.71341","1572780.14066","1418650.48547","178351.37048","1005489.09223","1170289.20776","2673689.41707","1694543.81438","691760.70071","2537183.41265","879060.38623","519124.23869","1035640.73425","2274263.67508","1428624.50594","3142299.11904","527096.60902","324179.45927","959884.09677","1649178.46364","870541.92666","316241.87818","2702885.0361","2098380.02082","1268821.07897","1065594.95155","3034498.99264","1354917.29275","2280043.08809","838724.98473","692623.75273","393307.29258","596120.74984","68464.85145","2085483.93485","1235183.8794","279724.39925","1445783.17484","767144.74299","1205328.04977","1360009.89846","2218866.21231","88864.91361","999924.83757","938364.15194","794518.3929","337292.14166","2506121.73411","331754.2824","1607006.40743"
"115.9197@569.35","170885.78739","949581.2066","841099.19354","136309.70638","330724.02452","48421.2335","565769.39428","942637.48097","1615379.87868","1117294.03513","261792.17417","2044126.6243","196000.86059","354863.80073","30212.08377","1383120.75582","1203253.90368","67971.19284","997975.65025","460657.54754","268293.61009","436331.07169","1715530.62285","56764.21311","1120672.4156","491171.89851","704228.36443","2014738.15238","3968756.06275","299104.88662","463484.612","826731.85592","817187.70774","957810.15526","355591.98752","1148613.49719","1498368.18162","891369.86643","805014.98447","350244.71892","943310.00908","763040.80112","655450.00534","423382.17303","86284.2446","33554.04431","947281.30206","653236.18436","2346371.54038","915735.39906","497987.05599","27437.3289","2304082.2815","1000333.35888","77710.91635","471043.43104","544040.34996","655970.23603","787583.31729"
"115.9199@635.1","1060766.47258","1149718.38397","1309378.30314","716612.2275","769998.33217","1434343.15427","946089.32097","2533939.39199","1392808.59774","2920561.72346","917558.06772","2581066.91351","698250.14082","793617.61326","985966.92905","2285188.37884","2704002.77003","1348389.69625","2856568.35646","743105.76931","823256.9602","1030229.28218","2324772.93794","2223223.68344","1413541.99504","757280.31918","959633.49239","2881621.72905","3055041.07293","811786.74168","1221166.17193","1436158.78238","1555922.21666","2229936.25239","722949.95559","1676873.94326","2559878.77343","1505925.70404","1336379.26501","743939.10236","1382879.14482","958784.6512","946621.85971","1218719.33228","2484137.24645","1289594.57995","2406398.10796","1064989.15156","1319051.18021","1660817.15234","1421447.54623","1101819.43145","1448720.82347","1115979.09271","1344767.89291","614676.40464","1515462.96395","969833.78185","1625614.69617"
"116.0708@35.41","98292.30887","97444.01357","161663.16898","64944.30798","148639.19838","138007.67462","119835.08363","90612.77872","23749.07267","118512.40645","83922.93841","133231.6142","99526.7451","109509.10503","109231.67286","142360.23885","104304.30235","111445.71496","123032.34938","109528.91038","71331.98356","102507.58958","56355.75096","111333.97453","116826.77772","53852.95363","115081.04688","128229.6742","45514.41135","78635.41846","78736.65095","72647.25226","35225.47338","59818.70957","113775.60901","103219.81199","96974.45543","139352.6245","123656.02031","111069.14158","25440.46859","122608.04139","122768.74023","93769.25157","46628.18583","121593.1336","176566.29131","143616.73934","154861.99642","110553.99481","124085.86055","100860.7612","34773.90648","95534.48052","90176.82213","122149.87656","85364.25893","117348.48516","117128.54716"
"116.9277@604.59","61819292.39021","50536322.24599","62191518.17343","42327093.45727","40440159.9662","56427804.79157","45787771.0043","53659105.5876","56138696.72415","57098952.7745","44256147.56858","52921245.35591","38603830.87645","39505378.38471","51560647.18772","54860938.3871","36478258.75703","53068044.25832","60795391.1906","38702782.11701","37740163.73714","46782890.04757","65041926.68484","52307731.24561","56101703.49146","40194902.63099","46756684.23607","56114316.57738","56306274.1933","53991558.43063","54245810.84717","57680413.56526","55803591.38963","35257727.513","37633660.29689","54479568.12488","52240635.1703","55764580.93299","67377170.31508","15322047.25405","56137448.21177","71348278.07442","44684573.86712","47387451.37612","58158521.08936","49126147.11848","54045257.03343","47561417.69339","71520420.20441","24639627.43636","55148012.51826","54911100.63459","56006917.25234","59134491.22602","55697769.95605","38753390.33797","56410979.13132","48211205.22634","34443417.74819"
"116.9279@570.44","256841.37338","1017994.0425","322788.26842","11060940.93928","11342509.22292","89427533.84046","14808578.75434","843825.82038","67996726.42419","25673.00832","11454428.24115","670688.255","13913317.54107","11469782.77481","27761529.55591","3160925.28539","85671865.62319","293112.83742","1217061.40936","14906995.49843","13653098.79134","202013.74918","653342.97223","438007.41871","2916878.1281","19517036.86888","18742774.4325","1293589.57521","93816566.65377","12685539.90495","20750300.67316","64423378.13953","3180831.64378","21903494.93928","14343009.29346","1818935.10541","459478.54097","94908743.52644","30545.40226","9480374.43049","91715448.93729","19789706.28946","16897826.70779","197052.25986","34275143.61064","29489712.07977","871874.52772","229772.10476","33204.28799","1140274.00734","81498413.05601","20714606.74058","95216031.89944","425477.14308","101402923.83698","15289066.93473","603484.53336","28717233.69144","93514517.72906"
"116.955@635.29","1515282.61913","62976730.99574","1578853.18807","49650433.14097","50095595.49133","1895752.73015","1348964.1243","1785355.95107","1874922.4902","1899581.8208","54285749.67773","1741970.41903","1003039.74483","1069329.26849","1552995.30354","1853672.16088","68802265.1578","62654638.4371","68749416.61992","900997.29448","995231.3632","59577218.15583","1706864.54879","66240810.14216","1837695.8787","1248943.36576","56308307.32646","69584105.21563","1854713.8222","1311467.44607","1462509.01095","1898083.94269","1843356.65272","65586638.15998","959100.88469","1888232.10019","1701444.46081","1829070.14837","1881066.44547","1253769.94747","1848882.31157","1463519.81842","52888476.4485","1500639.61855","1786255.08187","1602996.46693","1797587.21234","1456651.89789","1880839.74115","1826177.67485","1818112.77992","1480256.23378","1902361.8106","1543956.98899","1829786.57988","40937194.49841","1862476.04393","57762786.8746","1839050.20877"
"117.0377@604.77","1618136.77531","854255.1859","1621371.60425","1763839.03334","1706124.24795","408503.77339","2274929.47732","2657956.52976","370320.16329","2982531.7053","2031358.04672","253333.00935","1453767.4792","1622515.9548","3003893.55119","368042.07719","307438.34974","3077318.25678","99062.05954","900881.50455","1476671.40743","2518673.28297","1759396.86584","2628075.36687","384404.78639","1203243.48912","2473816.89987","374289.94448","353339.43464","2005056.93379","1580181.57258","2980777.11283","1879031.80259","1759429.90511","1361883.20138","2837003.70279","1696446.99346","2835978.68117","376659.02808","1661816.18579","259040.88909","1532795.78973","2006284.37057","142420.64555","2947433.03075","2427147.21477","1838824.46328","2588226.00686","361831.51218","9489.44536","331884.22023","2496584.36168","2033933.90294","2684672.15847","365054.98098","1412012.7935","383604.08963","2479548.80961","346797.81985"
"117.1802@636.43","301778.12559","371996.63422","373792.43426","83399.94209","77111.09874","732806.02963","77101.92999","597586.86998","689644.19653","729801.29901","150991.0864","566127.50752","34723.24103","49506.52143","167280.88017","680375.16534","640483.88549","383157.57664","642308.25509","23811.07624","37058.16483","256755.36847","523355.5248","534106.65345","674920.47344","115357.6371","184962.23795","694752.47328","678297.49184","140120.57711","241220.89157","6631.89426","678438.33093","520160.04757","29601.36703","736497.92449","252218.34009","652269.54199","730033.28598","127508.10044","659688.84781","232672.51386","157249.17207","284392.26568","622500.37187","381113.45589","623257.69998","113519.53732","720103.02108","325280.64679","629543.70916","258424.57582","724718.28084","335196.53041","648764.57121","17290.56505","684725.15004","110395.25411","664317.37004"
"117.9275@571.44","1531501.1799","105046.93375","6394500.1731","1153899.66361","912770.587","5092265.81077","1403826.34477","2452394.71019","6796282.21059","2967393.67733","1320390.16061","8931582.78476","1112942.67018","928769.98364","153446.86944","2646718.6519","9077918.5879","1231875.81176","2602990.27808","1028804.27296","1177314.67484","2761740.57688","7983669.24547","1616104.41029","11044078.36255","1216444.43976","2374133.31769","9830049.34067","5958952.25536","1078407.38347","1138228.277","10456884.8716","7207302.14683","883186.82845","721240.57575","9576739.75586","3488781.69039","10021243.31365","10907784.58366","1240790.94964","2789085.85866","2604593.05044","2466315.45066","1244573.63616","116295.61344","1399025.14048","5684024.08947","1685085.60618","2176478.11391","2691190.64411","123202.01378","1899892.74381","3002660.9272","6865593.97263","4786141.04456","922599.74609","10004413.68327","2728675.93458","4346914.72391"
